Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI,Target
2018-08-10,46150,46400,44850,45400,16670643,-0.0319829424307036,40.67796610169491,0.0,0
2018-08-13,44950,45100,44650,45050,9803831,-0.0077092511013215,40.67796610169491,0.0,1
2018-08-14,44850,45400,44850,45150,6409259,0.002219755826859,41.66666666666667,0.0436408977556112,0
2018-08-16,43800,44650,43700,44250,10088229,-0.0199335548172757,28.455284552845526,0.0,0
2018-08-17,44050,44400,44050,44100,6808747,-0.0033898305084745,27.77777777777777,0.0,0
2018-08-20,43500,44200,43500,43850,7289124,-0.0056689342403628,28.455284552845526,0.0221246769797162,1
2018-08-21,43700,44900,43700,44800,9520270,0.0216647662485747,39.416058394160586,0.380059962073459,1
2018-08-22,45150,46200,44900,46100,11641656,0.0290178571428572,47.13375796178344,0.8249965722263081,1
2018-08-23,46150,46200,45700,46200,6730918,0.002169197396963,54.67625899280576,1.0,0
2018-08-24,45900,46400,45550,46150,6582535,-0.0010822510822511,52.94117647058823,0.9354951490254348,1
2018-08-27,46100,46550,46000,46300,5263782,0.0032502708559045,53.6231884057971,0.9608501841204212,1
2018-08-28,46800,46950,46300,46550,7365976,0.0053995680345573,48.8,0.7815393759286775,1
2018-08-29,46750,46800,46400,46800,5572374,0.0053705692803436,50.0,0.826151560178306,1
2018-08-30,46950,47950,46700,47650,12193231,0.018162393162393,55.24475524475525,1.0,1
2018-08-31,47100,48450,47000,48450,13577454,0.0167890870933893,73.64341085271317,1.0,0
2018-09-03,48200,48300,47300,47450,8595084,-0.0206398348813209,66.90140845070422,0.8530053560801429,1
2018-09-04,47550,47800,47200,47650,6791255,0.0042149631190726,67.36111111111111,0.8630281690140846,0
2018-09-05,47300,47450,46400,46600,9139998,-0.0220356768100734,65.98639455782313,0.8330554757114115,0
2018-09-06,46200,46400,45800,46100,9040553,-0.0107296137339055,62.98701298701299,0.7641770363527687,0
2018-09-07,44500,45200,44400,44900,18285508,-0.0260303687635574,56.069364161849705,0.4865496327200692,1
2018-09-10,45450,45550,45000,45500,9979838,0.0133630289532293,54.21686746987952,0.2671898246739987,0
2018-09-11,45550,45900,45050,45050,9865790,-0.0098901098901098,42.95302013422819,0.0,0
2018-09-12,44900,45100,44500,44550,12995269,-0.0110987791342952,39.490445859872615,0.0,0
2018-09-13,44550,44750,44000,44050,18277942,-0.0112233445566778,37.34939759036145,0.0,1
2018-09-14,45000,45850,44900,45850,12446344,0.0408626560726448,47.73869346733668,0.2862537080668395,0
2018-09-17,45550,45800,44900,45150,8123384,-0.0152671755725191,43.26923076923077,0.1631077041846469,1
2018-09-18,44950,45900,44700,45500,9987090,0.0077519379844961,43.80952380952381,0.1779942651275641,1
2018-09-19,46000,46200,45700,46150,9367454,0.0142857142857142,42.71844660194174,0.147932083805945,1
2018-09-20,46850,47600,46400,47250,13536966,0.0238353196099674,44.33962264150944,0.2329165592732666,1
2018-09-21,46550,47550,46550,47400,14476906,0.0031746031746031,49.74358974358975,0.4129784907036091,1
2018-09-27,46950,47500,46450,47500,15804586,0.0021097046413502,49.22279792746114,0.4146175086232206,0
2018-09-28,47250,47250,46300,46450,11270515,-0.0221052631578947,49.22279792746114,0.4631242084492164,0
2018-10-01,46450,46800,45800,46350,6354983,-0.0021528525296017,51.35135135135135,0.7479689510939511,0
2018-10-02,46450,46700,45700,45700,6607188,-0.0140237324703343,54.59770114942529,1.0,0
2018-10-04,45150,45600,44700,44700,11865327,-0.0218818380743982,45.604395604395606,0.478597676911607,0
2018-10-05,44800,45500,44550,44700,10544165,0.0,47.97687861271677,0.6161464509227439,1
2018-10-08,44200,45200,44200,44950,6759464,0.005592841163311,52.38095238095237,0.8714801858117789,1
2018-10-10,45250,45500,44500,45300,10341349,0.0077864293659621,57.57575757575758,1.0,0
2018-10-11,44000,44650,43100,43100,19324537,-0.0485651214128035,34.10404624277457,0.0,1
2018-10-12,43200,44650,43200,44000,12640906,0.0208816705336427,43.502824858757066,0.4004300531242094,0
2018-10-15,44050,44050,43350,43800,7434522,-0.0045454545454545,40.22988505747126,0.2609881626350998,0
2018-10-16,43700,44150,43350,43600,6825677,-0.0045662100456621,34.54545454545455,0.0188059701492535,1
2018-10-17,44150,44500,44000,44150,8306193,0.0126146788990826,29.87012987012986,0.0,0
2018-10-18,43950,44450,43700,44050,8347725,-0.0022650056625141,28.104575163398707,0.0,0
2018-10-19,43900,44150,43450,43900,7842520,-0.003405221339387,26.62337662337661,0.0,0
2018-10-22,43450,43950,43200,43550,8357648,-0.0079726651480638,29.28571428571429,0.0860139860139864,0
2018-10-23,43300,43450,42550,43050,9531231,-0.0114810562571756,27.70270270270269,0.0348705348705348,0
2018-10-24,43050,43100,42250,42550,13522825,-0.0116144018583043,28.27586206896551,0.0533879913190257,0
2018-10-25,40600,41550,40550,41000,19338170,-0.036427732079906,26.282051282051285,0.0,0
2018-10-26,41100,41300,40400,41000,14413864,0.0,26.282051282051285,0.0,1
2018-10-29,40850,41950,40550,41400,14460521,0.0097560975609756,27.672955974842765,0.044446786831102,1
2018-10-30,41400,43000,41000,42350,14205190,0.0229468599033817,32.7485380116959,0.3755050085782273,1
2018-10-31,42900,43350,41700,42400,17621480,0.0011806375442739,44.53125,1.0,0
2018-11-01,42450,42950,42150,42150,13423132,-0.0058962264150943,33.91304347826086,0.418154918150145,1
2018-11-02,43050,44250,42800,44150,16517112,0.0474495848161329,52.31788079470199,1.0,0
2018-11-05,43750,43800,42900,43800,9426777,-0.0079275198187995,51.29870129870131,0.9608547330706146,0
2018-11-06,43750,43800,42950,43750,7713625,-0.0011415525114155,47.22222222222223,0.804282841458775,1
2018-11-07,43600,44500,43400,44000,11553998,0.0057142857142857,49.65986394557823,0.8979092696918974,1
2018-11-08,44900,45050,44050,44050,12617397,0.0011363636363637,51.03448275862069,0.9507064664308964,1
2018-11-09,44450,44850,43900,44300,7318500,0.0056753688989783,55.24475524475525,1.0,1
2018-11-12,43850,45250,43700,45200,8552566,0.020316027088036,64.23841059602648,1.0,0
2018-11-13,43900,44500,43400,44500,9311126,-0.0154867256637167,62.58064516129033,0.956324435096024,0
2018-11-14,44500,44500,43800,44100,6783344,-0.0089887640449438,73.48484848484848,1.0,1
2018-11-15,44050,44350,43500,44250,5864067,0.0034013605442175,74.07407407407408,1.0,0
2018-11-16,44600,44750,43700,44000,7777124,-0.0056497175141242,69.69696969696969,0.8940823327615778,0
2018-11-19,44050,44250,43450,43650,7538720,-0.0079545454545454,60.833333333333336,0.6703087409783481,0
2018-11-20,42450,43000,42100,42800,9420664,-0.0194730813287514,52.94117647058823,0.4737959337704608,0
2018-11-21,41800,42300,41800,42100,10769589,-0.0163551401869158,49.6551724137931,0.090606420927467,1
2018-11-22,42000,42650,42000,42450,5970796,0.0083135391923989,34.82142857142857,0.0,0
2018-11-23,42450,42600,41900,42400,5192638,-0.0011778563015312,36.79245283018869,0.0502137940900639,1
2018-11-26,42150,42800,42100,42600,6613009,0.0047169811320755,39.44954128440367,0.1179057526877564,1
2018-11-27,42900,43100,42500,43050,8367091,0.0105633802816902,41.5929203539823,0.1725104561958086,1
2018-11-28,42800,43200,42750,43150,6943099,0.0023228803716608,42.10526315789473,0.185562896288742,0
2018-11-29,43850,43850,42900,43150,8473511,0.0,39.44954128440367,0.1179057526877564,0
2018-11-30,43450,44000,41750,41850,19775519,-0.030127462340672,21.367521367521377,0.0,1
2018-12-03,42750,43400,42400,43250,12110702,0.033452807646356,40.458015267175576,0.3622034247988446,0
