stck_bsop_date,stck_clpr,stck_oprc,stck_hgpr,stck_lwpr,acml_vol,acml_tr_pbmn,flng_cls_code,prtt_rate,mod_yn,prdy_vrss_sign,prdy_vrss,revl_issu_reas,company_id
20231212,445500,446500,449500,443000,234611,104866381978,0,0.0,N,5,-500,,030200
20231211,446000,451000,457000,440500,305967,136497183000,0,0.0,N,5,-4000,,030200
20231208,450000,448000,457000,444500,220251,99162527500,0,0.0,N,2,6500,,030200
20231207,443500,439000,447000,435500,268573,118631104000,0,0.0,N,2,10000,,030200
20231206,433500,445000,445000,432500,350012,152521339500,0,0.0,N,5,-10500,,030200
20231205,444000,439500,447000,436500,193240,85522843000,0,0.0,N,2,4500,,030200
20231204,439500,451000,456000,433500,471966,209565847938,0,0.0,N,5,-7500,,030200
20231201,447000,467500,467500,447000,436363,197025071000,0,0.0,N,5,-25000,,030200
20231130,472000,471000,473500,463500,383120,180009608500,0,0.0,N,2,500,,030200
20231129,471500,460500,474500,454000,245968,114381038500,0,0.0,N,2,16500,,030200
20231128,455000,456500,459500,452500,219732,100018869500,0,0.0,N,2,1500,,030200
20231127,453500,465000,466500,453000,206628,94579521500,0,0.0,N,5,-9500,,030200
20231124,463000,476000,479500,463000,250887,117317191500,0,0.0,N,5,-12000,,030200
20231123,475000,471500,481000,467000,191498,90985290000,0,0.0,N,2,3500,,030200
20231122,471500,462500,474500,462500,214222,100518664500,0,0.0,N,2,5500,,030200
20231121,466000,470000,474000,461000,305803,143149172500,0,0.0,N,2,5500,,030200
20231120,460500,446000,465000,446000,237729,109478409000,0,0.0,N,2,16500,,030200
20231117,444000,450000,452500,443000,216245,96270986500,0,0.0,N,5,-11000,,030200
20231116,455000,448500,461000,444500,243428,109852104000,0,0.0,N,2,6500,,030200
20231115,448500,450000,452000,444000,385615,172872310500,0,0.0,N,2,13500,,030200
20231114,435000,426500,441500,425500,373809,162726266500,0,0.0,N,2,18000,,030200
20231113,417000,424000,430000,417000,277544,116651087500,0,0.0,N,5,-3000,,030200
20231110,420000,427000,429500,418000,387751,163717701550,0,0.0,N,5,-19500,,030200
20231109,439500,450000,454000,436500,354047,156359560000,0,0.0,N,5,-10500,,030200
20231108,450000,470500,474500,450000,380310,175311397500,0,0.0,N,5,-16000,,030200
20231107,466000,495000,495500,458000,642838,303557604500,0,0.0,N,5,-40000,,030200
20231106,506000,478000,522000,465500,979940,485421712500,0,0.0,N,2,52000,,030200
20231103,454000,458000,465000,450500,323288,146979850500,0,0.0,N,2,3000,,030200
20231102,451000,436500,454000,434500,445802,198270814500,0,0.0,N,2,25500,,030200
20231101,425500,430000,443500,422500,389358,167636459500,0,0.0,N,3,0,,030200
20231031,425500,447000,447500,423500,458098,196956541500,0,0.0,N,5,-26500,,030200
20231030,452000,439000,459500,439000,490326,220304348500,0,0.0,N,3,0,,030200
20231027,452000,425500,454000,425000,558062,247756399720,0,0.0,N,2,29000,,030200
20231026,423000,417500,435000,417500,789835,336015967500,0,0.0,N,5,-22500,,030200
20231025,445500,479000,479500,443000,588982,268244867500,0,0.0,N,5,-34500,,030200
20231024,480000,477000,481000,460000,359957,169729668500,0,0.0,N,2,6000,,030200
20231023,474000,472000,483000,462500,371565,176209288000,0,0.0,N,5,-6000,,030200
20231020,480000,482500,486000,476500,272354,130727883500,0,0.0,N,5,-14000,,030200
20231019,494000,499000,502000,488500,312509,154299724339,0,0.0,N,5,-18000,,030200
20231018,512000,522000,526000,512000,142190,73586342704,0,0.0,N,5,-12000,,030200
20231017,524000,525000,539000,524000,170188,90187653000,0,0.0,N,2,10000,,030200
20231016,514000,522000,528000,507000,146018,75258939000,0,0.0,N,5,-12000,,030200
20231013,526000,532000,536000,525000,165552,87703871000,0,0.0,N,5,-9000,,030200
20231012,535000,514000,539000,514000,334093,178138819910,0,0.0,N,2,24000,,030200
20231011,511000,498000,514000,497500,334945,170445179502,0,0.0,N,2,21000,,030200
20231010,490000,481500,505000,481500,279139,137573893303,0,0.0,N,2,9000,,030200
20231006,481000,484000,491500,480500,228092,110541032084,0,0.0,N,5,-8000,,030200
20231005,489000,495000,502000,485500,321504,158685232000,0,0.0,N,2,4500,,030200
20231004,484500,483500,494500,477500,651037,316924371983,0,0.0,N,5,-27500,,030200
20230927,512000,512000,519000,502000,308361,157861281000,0,0.0,N,5,-10000,,030200
20230926,522000,516000,527000,515000,197748,103133132742,0,0.0,N,2,1000,,030200
20230925,521000,526000,537000,519000,253968,133218098000,0,0.0,N,5,-12000,,030200
20230922,533000,528000,541000,527000,266207,142021862368,0,0.0,N,5,-5000,,030200
20230921,538000,553000,557000,538000,263903,144252376000,0,0.0,N,5,-25000,,030200
20230920,563000,552000,566000,552000,178160,99810030500,0,0.0,N,2,5000,,030200
20230919,558000,566000,571000,558000,169638,95265809000,0,0.0,N,5,-9000,,030200
20230918,567000,572000,582000,567000,213637,122218470000,0,0.0,N,5,-14000,,030200
20230915,581000,584000,589000,580000,272850,159139180000,0,0.0,N,5,-3000,,030200
20230914,584000,563000,584000,558000,309653,178684506259,0,0.0,N,2,26000,,030200
20230913,558000,553000,562000,552000,175344,97687424424,0,0.0,N,3,0,,030200
20230912,558000,574000,576000,557000,361888,204066526000,0,0.0,N,5,-15000,,030200
20230911,573000,592000,596000,572000,225226,130698974000,0,0.0,N,5,-16000,,030200
20230908,589000,596000,598000,581000,171037,100612310201,0,0.0,N,5,-6000,,030200
20230907,595000,595000,600000,588000,216249,128217633996,0,0.0,N,5,-8000,,030200
20230906,603000,610000,615000,602000,140298,85174552878,0,0.0,N,5,-13000,,030200
20230905,616000,611000,620000,606000,147533,90927511763,0,0.0,N,2,6000,,030200
20230904,610000,593000,610000,592000,125600,76113511000,0,0.0,N,2,14000,,030200
20230901,596000,615000,615000,595000,156207,93892182000,0,0.0,N,5,-18000,,030200
20230831,614000,608000,615000,604000,220252,134768024000,0,0.0,N,2,8000,,030200
20230830,606000,599000,611000,598000,135863,82479180000,0,0.0,N,2,10000,,030200
20230829,596000,600000,604000,594000,101510,60639781000,0,0.0,N,5,-3000,,030200
20230828,599000,600000,604000,595000,82216,49234649600,0,0.0,N,2,4000,,030200
20230825,595000,585000,600000,583000,115672,68678129000,0,0.0,N,2,1000,,030200
20230824,594000,588000,602000,588000,189468,112742364000,0,0.0,N,2,8000,,030200
20230823,586000,592000,598000,584000,187308,110037045660,0,0.0,N,5,-12000,,030200
20230822,598000,597000,605000,593000,138952,83237541500,0,0.0,N,2,8000,,030200
20230821,590000,595000,600000,590000,123795,73541733000,0,0.0,N,5,-7000,,030200
20230818,597000,602000,604000,595000,139460,83595147000,0,0.0,N,5,-11000,,030200
20230817,608000,596000,611000,594000,189571,114327518000,0,0.0,N,2,7000,,030200
20230816,601000,600000,616000,600000,188255,114179494000,0,0.0,N,5,-9000,,030200
20230814,610000,625000,626000,610000,217209,133558104152,0,0.0,N,5,-23000,,030200
20230811,633000,626000,645000,625000,205353,130829620000,0,0.0,N,2,11000,,030200
20230810,622000,627000,627000,619000,144517,90094717000,0,0.0,N,5,-12000,,030200
20230809,634000,614000,637000,610000,202298,127178251000,0,0.0,N,2,20000,,030200
20230808,614000,620000,627000,614000,216777,134187346076,0,0.0,N,5,-3000,,030200
20230807,617000,630000,631000,617000,275197,171118537000,0,0.0,N,5,-18000,,030200
20230804,635000,640000,643000,634000,140213,89339442000,0,0.0,N,5,-4000,,030200
20230803,639000,648000,653000,637000,239993,153895194000,0,0.0,N,5,-11000,,030200
20230802,650000,670000,671000,650000,278182,182447916000,0,0.0,N,5,-20000,,030200
20230801,670000,664000,676000,664000,316546,211939374000,0,0.0,N,2,5000,,030200
20230731,665000,664000,679000,658000,396958,264036229000,0,0.0,N,2,2000,,030200
20230728,663000,667000,671000,658000,311265,206448333006,0,0.0,N,2,1000,,030200
20230727,662000,700000,701000,660000,560783,378317551000,0,0.0,N,5,-41000,,030200
20230726,703000,711000,735000,698000,630733,449330050544,0,0.0,N,5,-9000,,030200
20230725,712000,727000,727000,698000,284582,202010820000,0,0.0,N,3,0,,030200
20230724,712000,684000,715000,680000,404793,284298225867,0,0.0,N,2,26000,,030200
20230721,686000,678000,687000,676000,163870,111806118000,0,0.0,N,2,1000,,030200
20230720,685000,685000,695000,683000,213207,146593969000,0,0.0,N,5,-10000,,030200
20230719,695000,699000,701000,682000,299355,207192764512,0,0.0,N,5,-4000,,030200
20230718,699000,702000,704000,687000,275226,191234489690,0,0.0,N,2,4000,,030200
20230717,695000,703000,708000,693000,198023,138380519000,0,0.0,N,5,-21000,,030200
20230714,716000,721000,724000,708000,185435,132825203000,0,0.0,N,2,1000,,030200
20230713,715000,695000,720000,694000,281166,200081511000,0,0.0,N,2,26000,,030200
20230712,689000,691000,699000,685000,103061,71042524000,0,0.0,N,2,3000,,030200
20230711,686000,689000,696000,685000,112989,77871034000,0,0.0,N,2,1000,,030200
20230710,685000,698000,700000,682000,167259,115202804000,0,0.0,N,5,-12000,,030200
20230707,697000,700000,705000,694000,134175,93790687000,0,0.0,N,5,-6000,,030200
20230706,703000,711000,711000,693000,178044,124727446684,0,0.0,N,5,-5000,,030200
20230705,708000,715000,715000,704000,130151,92248540000,0,0.0,N,5,-3000,,030200
20230704,711000,722000,722000,708000,243325,173867325000,0,0.0,N,5,-6000,,030200
20230703,717000,680000,717000,677000,341742,240648467000,0,0.0,N,2,48000,,030200
20230630,669000,666000,676000,653000,253831,168385799727,0,0.0,N,2,4000,,030200
20230629,665000,657000,679000,656000,225876,151225929719,0,0.0,N,2,8000,,030200
20230628,657000,684000,684000,657000,268136,178563334000,0,0.0,N,5,-21000,,030200
20230627,678000,676000,683000,674000,162584,110167338500,0,0.0,N,5,-5000,,030200
20230626,683000,677000,687000,674000,139271,94997137000,0,0.0,N,3,0,,030200
20230623,683000,694000,698000,681000,186774,128279695000,0,0.0,N,5,-12000,,030200
20230622,695000,687000,699000,687000,154204,107070949000,0,0.0,N,3,0,,030200
20230621,695000,704000,716000,694000,187104,131310586000,0,0.0,N,5,-7000,,030200
20230620,702000,704000,706000,691000,229017,160132000000,0,0.0,N,5,-13000,,030200
20230619,715000,726000,729000,713000,165447,118723303000,0,0.0,N,5,-12000,,030200
20230616,727000,729000,734000,722000,178267,129736993000,0,0.0,N,3,0,,030200
20230615,727000,727000,735000,719000,175549,127366859500,0,0.0,N,5,-4000,,030200
20230614,731000,740000,744000,725000,198157,145525511304,0,0.0,N,5,-11000,,030200
20230613,742000,740000,745000,735000,146848,108691677000,0,0.0,N,2,2000,,030200
20230612,740000,742000,745000,734000,136383,100694272000,0,0.0,N,2,5000,,030200
20230609,735000,729000,735000,726000,150901,110401874000,0,0.0,N,2,6000,,030200
20230608,729000,736000,736000,717000,197396,143625853000,0,0.0,N,5,-6000,,030200
20230607,735000,722000,740000,719000,228145,167172463566,0,0.0,N,2,18000,,030200
20230605,717000,722000,722000,710000,77553,55515221000,0,0.0,N,2,2000,,030200
20230602,715000,708000,718000,706000,155491,110838316000,0,0.0,N,2,7000,,030200
20230601,708000,718000,721000,706000,134626,95733104000,0,0.0,N,5,-10000,,030200
20230531,718000,712000,723000,712000,280762,201749258178,0,0.0,N,3,0,,030200
20230530,718000,698000,724000,698000,208259,149006757406,0,0.0,N,2,25000,,030200
20230526,693000,697000,703000,693000,124561,86846720000,0,0.0,N,5,-7000,,030200
20230525,700000,704000,711000,700000,179880,126363701000,0,0.0,N,5,-14000,,030200
20230524,714000,700000,714000,700000,140941,99993548500,0,0.0,N,2,4000,,030200
20230523,710000,703000,714000,699000,175511,124320085184,0,0.0,N,2,10000,,030200
20230522,700000,701000,706000,692000,152734,107043951000,0,0.0,N,2,2000,,030200
20230519,698000,692000,698000,683000,228854,158615216000,0,0.0,N,2,6000,,030200
20230518,692000,694000,695000,686000,141399,97663646000,0,0.0,N,2,1000,,030200
20230517,691000,670000,692000,668000,178280,122040760000,0,0.0,N,2,20000,,030200
20230516,671000,678000,685000,670000,136572,92317728000,0,0.0,N,5,-3000,,030200
20230515,674000,666000,675000,655000,189664,126392454120,0,0.0,N,2,9000,,030200
20230512,665000,664000,672000,663000,146189,97524173000,0,0.0,N,5,-5000,,030200
20230511,670000,673000,676000,667000,178109,119519684040,0,0.0,N,5,-2000,,030200
20230510,672000,676000,687000,670000,142401,96335778178,0,0.0,N,5,-8000,,030200
20230509,680000,686000,689000,667000,200372,135159307750,0,0.0,N,5,-4000,,030200
20230508,684000,685000,691000,678000,206578,141656543000,0,0.0,N,3,0,,030200
20230504,684000,681000,692000,675000,174917,119737103000,0,0.0,N,3,0,,030200
20230503,684000,698000,698000,680000,223955,153298699000,0,0.0,N,5,-16000,,030200
20230502,700000,695000,703000,691000,220723,153897923242,0,0.0,N,2,9000,,030200
20230428,691000,711000,711000,682000,545959,378233787000,0,0.0,N,5,-15000,,030200
20230427,706000,703000,710000,696000,263169,185218599000,0,0.0,N,2,3000,,030200
20230426,703000,707000,721000,701000,220437,155850026000,0,0.0,N,5,-3000,,030200
20230425,706000,735000,737000,698000,258603,184380213000,0,0.0,N,5,-20000,,030200
20230424,726000,734000,740000,721000,161151,117378205000,0,0.0,N,5,-8000,,030200
20230421,734000,746000,756000,729000,206651,152445174000,0,0.0,N,5,-15000,,030200
20230420,749000,753000,765000,746000,182001,136928574000,0,0.0,N,5,-9000,,030200
20230419,758000,766000,766000,752000,221589,167981014478,0,0.0,N,5,-8000,,030200
20230418,766000,755000,774000,746000,291568,222491893000,0,0.0,N,2,11000,,030200
20230417,755000,757000,760000,749000,214568,161851809000,0,0.0,N,5,-7000,,030200
20230414,762000,773000,775000,750000,236270,179730128000,0,0.0,N,5,-7000,,030200
20230413,769000,753000,769000,744000,278712,212309363246,0,0.0,N,2,5000,,030200
20230412,764000,776000,779000,751000,290987,222668326000,0,0.0,N,5,-3000,,030200
20230411,767000,756000,776000,746000,441472,336456939000,0,0.0,N,2,18000,,030200
20230410,749000,738000,756000,735000,352685,263848803000,0,0.0,N,2,11000,,030200
