Date,Open,High,Low,Close,Volume,Change,RSI,Stochastic RSI
2018-12-03,108500,109000,106500,108500,723565,0.014018691588784993,59.677419354838705,1.0
2018-12-04,108500,108500,105500,107500,612079,-0.009216589861751112,59.677419354838705,1.0
2018-12-05,106000,108500,106000,107500,519108,0.0,57.62711864406779,0.9481442358476977
2018-12-06,107500,112500,106000,110500,896541,0.027906976744185963,61.53846153846154,1.0
2018-12-07,110000,112000,109500,111000,566780,0.004524886877828038,65.07936507936509,1.0
2018-12-10,108500,111000,108500,110500,367098,-0.0045045045045044585,73.21428571428572,1.0
2018-12-11,109500,112500,108500,111500,372363,0.009049773755656076,73.86759581881533,1.0
2018-12-12,111500,121500,111000,118500,1558536,0.06278026905829592,91.85667752442997,1.0
2018-12-13,116500,120000,116500,118500,1093587,0.0,91.61073825503355,0.996514484968537
2018-12-14,119000,120000,115000,116500,534429,-0.016877637130801704,85.19736842105263,0.8759324349436981
2018-12-17,115000,118500,112500,116500,602835,0.0,81.63265306122449,0.8013674984415087
2018-12-18,117500,120000,116000,118000,889260,0.012875536480686733,82.6923076923077,0.821954484605087
2018-12-19,118500,123500,118500,123000,841175,0.04237288135593231,88.33333333333333,0.8970672043010751
2018-12-20,121500,124500,120500,121500,682779,-0.012195121951219523,79.59183673469389,0.6416886109282425
2018-12-21,120500,122500,119500,122500,643918,0.008230452674897082,79.16666666666666,0.6292674731182794
2018-12-24,122000,124000,121500,123000,301455,0.004081632653061273,82.97872340425532,0.7406348661633494
2018-12-26,121500,122000,118500,120000,550552,-0.024390243902439046,73.58490566037736,0.3973335412443474
2018-12-27,118000,120000,117500,118500,458613,-0.012499999999999956,66.0,0.03438115466306199
2018-12-28,118500,120000,117500,118500,398062,0.0,65.30612244897961,0.0
2019-01-02,117500,118000,113500,114000,565493,-0.03797468354430378,56.140350877192986,0.0
2019-01-03,113000,118500,113000,116500,608591,0.021929824561403466,58.33333333333333,0.06139999999999976
2019-01-04,116000,123000,116000,119500,1326978,0.025751072961373467,51.92307692307693,0.0
2019-01-07,121000,121500,119500,120500,428416,0.008368200836819994,53.70370370370371,0.04890453834115813
2019-01-08,121500,123500,118500,119500,582117,-0.008298755186721962,55.769230769230774,0.10563380281690145
2019-01-09,119000,124000,119000,123000,846392,0.029288702928870203,61.016949152542374,0.2497612795416567
2019-01-10,121500,123000,119500,123000,648837,0.0,58.92857142857143,0.19240442655935613
2019-01-11,123000,124500,122000,123000,440529,0.0,50.0,0.0
2019-01-14,122500,124000,121000,121500,297709,-0.012195121951219523,50.0,0.0
2019-01-15,121000,128000,120500,127500,828015,0.04938271604938271,58.92857142857143,0.27073732718894017
2019-01-16,127000,129000,126000,128500,397335,0.007843137254901933,59.64912280701754,0.4091228070175437
